REP,INSTN,TREAT,x1,x2,x3,x4,x5,x6,x7,x8,Pwev,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68
2,158,NI,10,10,10,5,7,7,7,1,3,3,5,5,1.2,0,3,3,1.6,76,56,53,-15.83646617,-0.553625378,8.748,9.192,9.35,9.548,7.500214157,0.011847884,22.3,31,30,36.2,42.67653535,0.187811605,51.084,49.44,36.425,39.26,-26.94869499,-0.22522722,9,59,6.301,0.700111111,56.98,15.698,43.58,5.346,8.2,3.946,548.8,89.92938467,5.4,657.56,114.9193847,27.55001755,12.267095,48.12195122,16.38654968,83.05745428,82.68158371,0.10679661,25.93004115,23.33703704,0,0.911922244,122,6
2,241,NI,10,10,10,7,7,9,7,1,5,7,7,7,1,1,3,3,1.6,59,55,41,-16.11710324,-0.424471299,10.88,9.62,9.546,10.638,-8.536997681,-0.004431102,35.8,40.2,40.8,47,18.84839958,0.156677628,49.88,42.36,46.2,30.16,-17.5838986,-0.251307945,8,88,4.75,0.59375,40.78,21.944,26.7,8.594,5.8,4.166,441.6,69.17343453,9.2,514.88,103.8774345,53.81069152,32.18726592,71.82758621,15.66427412,85.62913698,66.4823037,0.053977273,21.99074074,17.59259259,0,0.518234199,205,5
2,100,NI,10,10,10,7,5,7,7,1,5,7,7,9,0,0,3,1,2.6,30,45,36,15,0.151812689,6.976,8.06,5.676,7.842,-1.318947435,0.000470775,17,20.6,19.8,24.6,25.37378352,0.100689509,54.98,35.325,29.76666667,33.225,-47.61149283,-0.333303985,9,58,4.34814,0.483126667,20.28,14.34,5.42,2.676,3.908,3.12,440.228,74.24454991,6.2,469.836,94.38054991,70.71005917,49.37269373,79.83623337,16.8650222,93.65827021,77.14247846,0.074967931,17.89358025,16.10422222,0,0.43425606,65,4
2,37,NI,10,10,10,7,9,7,7,3,7,7,7,9,0,0,3,3,2.2,72,40,29,-35.97222222,-1.030966767,9.974,9.24,8.96,12.48,2.705801317,0.031897528,32.5,42,38.6,50.6,31.49822544,0.232937308,50.075,43.6,32.66666667,24.7,-46.13630839,-0.400481772,10,103,4.176,0.4176,26.12,16.32,12.56,6.606,2.918,2.242,312.4,55.65491165,8.6,353.998,80.82291165,62.48085758,52.5955414,76.83344757,17.81527262,88.69914865,67.18663007,0.040543689,15.46666667,15.46666667,0,0.400552853,235,3
2,146,NI,10,10,10,7,9,9,7,1,3,5,5,7,1,0,3,3,3,77,45,31,-36.33477633,-1.101208459,8.774,8.104,8.016,9.704,-1.702786628,0.011663732,28.8,34.2,29.8,44.2,21.99188547,0.188967858,45.76,38,34.5,34.6,-26.07194992,-0.172735759,10,112,5.2002,0.52002,26.06,17.374,34.04,5.658,14,4.546,429.2,76.91324273,10.8,503.3,104.4912427,66.66922487,16.62162162,32.47142857,17.92014043,81.91737845,68.04021186,0.046430357,19.26,19.26,0,0.621124906,110,2
2,216,NI,10,10,10,5,5,7,7,1,3,5,5,5,2.666666667,0,3,1,2,78,56,38,-30.17399267,-0.953172205,7.708,7.396,9.114,10.44,24.03071151,0.045172165,35.8,53.8,55.4,56,53.61431813,0.291566776,57.44,46.34,21.1,25.14,-67.40918923,-0.568047099,9,84,4.7045,0.522722222,56.18,23.86,73.38,13.674,17.076,6.226,513.8,92.9676,11,660.436,136.7276,42.47063012,18.63450531,36.4605294,18.09412223,76.6780561,64.98925625,0.056005952,19.3600823,17.42407407,0,0.508353474,180,1
3,112,NI,8,10,10,5,5,5,5,3,7,7,7,7,2.2,1.333333333,3,1,2,58,41,32,-25.63078217,-0.621601208,8.46,7.448,7.866,8.722,-2.72250399,0.004969556,48.4,59.8,54.8,61.8,19.45042254,0.162851384,50.8,48.96666667,19.8,33.13333333,-40.72656425,-0.384586825,5,38,1.58732,0.317464,7.58,8.674,23.24,9.674,,2.208,317.464,54.74607517,7.6,348.284,75.30207517,114.4327177,41.62650602,,17.24481364,90.35486685,72.04412971,0.041771579,11.75792593,5.878962963,0,0.057871911,77,1
3,86,NI,10,10,10,7,7,7,7,1,5,5,5,5,2.4,1.6,3,3,1.6,77,51,43,-24.72625414,-0.81570997,9.204,8.022,9.372,11.47,11.44842189,0.036505781,33.8,42.2,40.8,42.4,22.841725,0.114225098,59,49.525,31.03333333,32.54,-51.77903525,-0.454691666,9,69,6.03608,0.670675556,59.354,10.42,41.82,17.832,,3.636,431.176,86.91071445,8.2,532.35,118.7987145,17.55568285,42.63988522,,20.15666792,76.25377067,62.78786725,0.08747942,24.83983539,22.35585185,0,0.83685232,52,2
3,58,NI,10,10,10,7,9,7,7,1,5,7,7,7,1.5,1.4,3,1,1.6,66,41,28,-34.79305248,-0.908610272,10.226,9.344,9.814,12.076,4.087794388,0.026704996,44.6,54,55,56.4,23.77656988,0.169937414,52.44,49.1,31.32,29.8,-44.19870612,-0.395775963,9,62,5.77964,0.642182222,18.648,17.032,12.632,4.972,,4.672,563.928,105.8580223,5.2,595.208,132.5340223,91.33419133,39.36035465,,18.77154926,94.3560537,79.29020549,0.09322,23.78452675,21.40607407,0,0.767256235,47,3
3,269,NI,10,10,10,5,5,7,7,1,5,5,7,7,0,0,3,1,2.4,73,40,34,-30.10273973,-0.938066465,8.576,7.332,8.58,9.846,7.434094499,0.022539726,24.2,30,29.6,36.4,30.29126647,0.166054949,53.76,48.1,36.76,35.32,-35.40992452,-0.308562639,8,55,4.32967,0.54120875,27.94,16.672,16.88,2.736,,4.31,455.134,76.67412718,5.4,499.954,100.3921272,59.67072298,16.20853081,,16.84649514,90.49584495,75.60601971,0.078721273,20.04476852,16.03581481,0,0.430574636,266,4
